,0,1,2
0,1,14,1
1,2,17,1
2,3,2,100
3,4,4,2
4,5,14,1
5,6,16,1
6,7,4,1
7,8,3,1
8,9,16,2
9,10,5,1
10,11,6,3
11,12,6,3
12,13,16,1
13,14,10,3
14,15,0,1000
15,16,7,2
16,17,8,2
17,18,8,2
18,19,8,5
19,20,17,1
20,21,5,3
21,22,0,1000
22,23,17,1
23,24,14,1
24,25,13,1
25,26,3,1
26,27,7,1
27,28,10,2
28,29,13,1
29,30,6,2
30,31,14,1
31,32,3,1
32,33,14,1
33,34,7,1
34,35,10,3
35,36,5,3
36,37,0,1000
37,38,0,1000
38,39,2,2
39,40,7,1
40,41,8,10
41,42,5,2
42,43,7,1
43,44,3,4
44,45,3,1
45,46,6,2
46,47,0,1000
47,48,17,1
48,49,16,1
49,50,6,2
50,51,4,1
51,52,10,2
52,53,13,100
53,54,8,1
54,55,0,1000
55,56,13,6
56,57,4,1
57,58,16,1
58,59,2,2
59,60,10,2
60,61,17,100
61,62,13,1
